2025-10-19 14:37:12,464 | INFO | 🖥️ Using device: cpu
2025-10-19 14:37:12,464 | INFO | 🚀 Starting RAG pipeline
2025-10-19 14:37:12,677 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1076178c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:13,772 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1076a2210>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:14,904 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1076a0cd0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:16,034 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107bc8770>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:17,138 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107bc8640>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:18,250 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107fec170>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:19,347 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107ffc5a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:20,445 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10764bce0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:21,570 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107ffc9e0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:22,676 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10764bce0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:23,783 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107ffc9e0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:24,882 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107ffc270>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:25,990 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10764bce0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:27,085 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10764bbd0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:28,183 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10764bdf0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:29,287 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10764bdf0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:37:30,396 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10764bdf0>: Failed to establish a new connection: [Errno 61] Connection refused'))
